Team,Player,arenaAdjustedXCordABS,arenaAdjustedYCordABS,Distance,event,shotType,shotRebound
UAH,19 24 67 9 88,42.92,-22.06,51.08,shot,WRIST,0
UA,19 24 67 9 88,71.23,-6.98,19.09,goal,BACK,1
UAH,3 22 88 12 2,45.54,18.56,47.26,shot,WRIST,0
UA,12 61 2 22 3,33.23,32.56,64.58,shot,SLAP,0
UA,16 26 61 81 3,29.69,-22.98,63.6,shot,WRIST,0
UAH,12 96 81 16 26,83.69,11.33,12.51,shot,TIP,0
UAH,7 23 27 16 5,56.15,22.56,39.85,shot,WRIST,0
UA,7 23 27 10 5,67.69,-0.36,21.31,goal,WRIST,1
UAH,23 10 27 24 19,35.38,32.87,62.89,shot,WRIST,0
UA,23 10 27 24 19,34.15,19.33,58.15,shot,WRIST,0
UA,67 88 9 3 22,56.46,30.41,44.53,shot,SLAP,0
UA,67 88 9 3 22,58.62,22.1,37.57,shot,WRIST,0
UA,12 26 67 88 9,31.69,-15.29,59.31,shot,WRIST,0
UAH,26 13 61 2 12,56.15,26.71,42.34,shot,WRIST,0
UAH,7 5 81 16 96,55.23,16.1,37.41,shot,WRIST,0
UAH,7 5 81 16 96,70,-4.06,19.43,shot,BACK,0
UA,27 10 23 24 19,64.77,15.94,29.01,shot,WRIST,0
UA,27 10 23 24 19,49.38,-35.9,53.46,shot,WRIST,0
UA,67 9 88 3 22,67.85,-6.06,22,shot,WRIST,0
UA,67 9 88 3 22,82.31,3.64,7.62,goal,TIP,0
UA,12 2 26 13 61,80.92,-5.75,9.91,goal,WRIST,0
UA,61 81 5 7 16,84.92,2.41,4.73,goal,BACK,0
UA,96 81 16 7 5,57.69,-14.98,34.71,shot,WRIST,0
UA,96 81 16 7 5,29.23,-19.13,62.76,shot,SLAP,0
UA,10 23 19 24 27,51.54,-0.06,37.46,goal,WRIST,0
UAH,23 10 27 24 19,75.69,4.56,14.07,shot,WRIST,1
UA,23 10 27 24 19,73.69,-0.21,15.31,shot,WRIST,0
UA,23 10 27 24 19,82.46,-6.36,9.12,shot,BACK,1
UAH,9 24 19 67 12,61.08,-31.9,42.4,shot,WRIST,0
UA,3 88 67 9 22,84,11.79,12.81,shot,WRIST,0
UA,3 88 67 9 22,78.92,-10.36,14.45,shot,WRIST,0
UA,13 2 88 12 3,64,11.48,27.51,shot,WRIST,0
UA,96 61 16 7 26,75.38,-2.98,13.94,shot,WRIST,0
UA,96 61 16 7 26,76.15,4.56,13.63,shot,BACK,1
UAH,96 81 16 7 26,69.38,1.33,19.66,shot,WRIST,0
UA,96 81 16 7 26,86.92,-5.59,5.97,shot,WRIST,0
UAH,10 23 27 19 5,53.08,22.41,42.34,shot,SLAP,0
UAH,10 23 27 19 24,74.31,19.33,24.28,shot,WRIST,0
UA,10 23 27 19 24,70.77,1.79,18.32,shot,WRIST,0
UAH,10 23 27 19 24,87.69,-17.44,17.49,shot,WRIST,0
UAH,3 22 12 2,74.15,0.56,14.86,shot,WRIST,0
UAH,5 9 7,87.54,4.41,4.64,shot,WRIST,1
UAH,10 7 19,55.85,7.79,34.06,shot,WRIST,0
UAH,10 7 19 23,70.31,-3.59,19.03,shot,WRIST,0
UAH,10 7 19 23,40,-18.82,52.49,shot,SLAP,0
UA,24 19 88 9 67,54.31,1.48,34.72,shot,WRIST,0
UA,24 19 88 9 67,35.23,-0.98,53.78,shot,WRIST,0
UA,24 19 88 9 67,52.31,-18.98,41.31,shot,WRIST,0
UA,24 19 88 9 67,64.77,-3.13,24.43,shot,WRIST,0
UA,22 3 2 12 61,38.92,-4.98,50.32,shot,WRIST,0
UA,22 3 2 12 61,71.23,4.1,18.24,shot,TIP,0
UA,27 19 24 23 10,65.69,2.71,23.47,shot,WRIST,0
UA,27 19 24 23 10,66.15,16.41,28.13,shot,WRIST,0
UA,27 19 24 23 10,79.08,4.41,10.86,shot,WRIST,1
UAH,67 9 88 3 22,39.38,14.1,51.58,shot,SLAP,0
UA,12 5 7 27,62.92,-0.21,26.08,goal,WRIST,0
UAH,9 67 22 3,78.46,6.71,12.5,shot,TIP,0
UAH,9 67 22 3,83.23,6.25,8.51,shot,BACK,1
UA,9 5 7,70.92,9.94,20.63,shot,WRIST,0
UAH,9 5 7,59.23,1.64,29.81,shot,WRIST,0
UAH,24 19 23 16,50.15,4.41,39.1,shot,WRIST,0
UA,24 19 23 16,60.31,-4.21,29,goal,WRIST,0
UA,22 81 96 3,79.23,-2.67,10.13,goal,WRIST,0
UA,22 81 96 3,55.08,-5.9,34.43,shot,WRIST,0
UA,13 26 2 12 61,37.85,13.48,52.9,shot,SLAP,0
UA,13 26 2 12 61,83.54,-2.67,6.08,goal,WRIST,1